rank,model,embedding_model,chunk_size,chunk_overlap,chunk_strategy,source,top_k,doc_prefix,query_prefix,path_at_k,anchor_at_k,mrr_path,mrr_anchor,best_ov,lat_ms,ERS,combo_name,run_source
1,e5-small-v2,intfloat/e5-small-v2,2000,0,word,both,5,passage: ,query: ,0.8674698795180723,0.8614457831325302,0.6626506024096386,0.6566265060240963,0.8614457831325302,17.834795180722892,0.802168674699,intfloat_e5-small-v2_word_chunk2000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\intfloat_e5-small-v2_word_chunk2000_overlap0_both\retrieval_eval_summary.json
2,e5-small-v2,intfloat/e5-small-v2,2000,100,word,both,5,passage: ,query: ,0.8614457831325302,0.8554216867469879,0.6611445783132529,0.6521084337349397,0.8554216867469879,17.77551204819277,0.796957831325,intfloat_e5-small-v2_word_chunk2000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\intfloat_e5-small-v2_word_chunk2000_overlap100_both\retrieval_eval_summary.json
3,e5-small-v2,intfloat/e5-small-v2,2000,200,word,both,5,passage: ,query: ,0.8554216867469879,0.8433734939759037,0.6529116465863454,0.6408634538152609,0.8433734939759037,17.604885542168674,0.786957831325,intfloat_e5-small-v2_word_chunk2000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\intfloat_e5-small-v2_word_chunk2000_overlap200_both\retrieval_eval_summary.json
4,e5-small-v2,intfloat/e5-small-v2,1000,0,word,both,5,passage: ,query: ,0.8493975903614458,0.8433734939759037,0.6412650602409637,0.6322289156626505,0.8433734939759037,17.73846385542169,0.782560240964,intfloat_e5-small-v2_word_chunk1000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\intfloat_e5-small-v2_word_chunk1000_overlap0_both\retrieval_eval_summary.json
5,e5-small-v2,intfloat/e5-small-v2,1000,200,word,both,5,passage: ,query: ,0.8493975903614458,0.8313253012048193,0.6233935742971887,0.6093373493975904,0.8313253012048193,18.301168674698793,0.770753012048,intfloat_e5-small-v2_word_chunk1000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\intfloat_e5-small-v2_word_chunk1000_overlap200_both\retrieval_eval_summary.json
6,e5-small-v2,intfloat/e5-small-v2,1000,100,word,both,5,passage: ,query: ,0.8373493975903614,0.8253012048192772,0.6364457831325301,0.616867469879518,0.8253012048192772,17.658807228915663,0.768012048193,intfloat_e5-small-v2_word_chunk1000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\intfloat_e5-small-v2_word_chunk1000_overlap100_both\retrieval_eval_summary.json
7,BGE,BAAI/bge-base-en-v1.5,2000,0,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.8132530120481928,0.7891566265060241,0.6255020080321285,0.6049196787148594,0.7891566265060241,28.532036144578313,0.742138554217,BAAI_bge-base-en-v1.5_word_chunk2000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\BAAI_bge-base-en-v1.5_word_chunk2000_overlap0_both\retrieval_eval_summary.json
8,BGE,BAAI/bge-base-en-v1.5,2000,100,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.8132530120481928,0.7891566265060241,0.6174698795180722,0.5948795180722891,0.7891566265060241,28.066030120481926,0.739367469880,BAAI_bge-base-en-v1.5_word_chunk2000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\BAAI_bge-base-en-v1.5_word_chunk2000_overlap100_both\retrieval_eval_summary.json
9,BGE,BAAI/bge-base-en-v1.5,2000,200,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.8132530120481928,0.7831325301204819,0.6180722891566265,0.5946787148594378,0.7831325301204819,28.487204819277107,0.736632530120,BAAI_bge-base-en-v1.5_word_chunk2000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\BAAI_bge-base-en-v1.5_word_chunk2000_overlap200_both\retrieval_eval_summary.json
10,MPNet,sentence-transformers/multi-qa-mpnet-base-dot-v1,2000,200,word,both,5,passage: ,passage: ,0.7951807228915663,0.7710843373493976,0.5826305220883534,0.5655622489959841,0.7710843373493976,27.932963855421686,0.717259036145,multi-qa-mpnet-base-dot-v1_word_chunk2000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\multi-qa-mpnet-base-dot-v1_word_chunk2000_overlap200_both\retrieval_eval_summary.json
11,BGE,BAAI/bge-base-en-v1.5,1000,200,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.7951807228915663,0.7530120481927711,0.6112449799196786,0.5745983935742972,0.7530120481927711,28.113536144578312,0.714006024096,BAAI_bge-base-en-v1.5_word_chunk1000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\BAAI_bge-base-en-v1.5_word_chunk1000_overlap200_both\retrieval_eval_summary.json
